winery,country,points,description,designation,Refined-description,CountVectorizer,TF-IDF Vectorizer Column
Murrieta's Well,US,87,"Fresh apple aromas and lively citrus flavors make a good combination in this light-bodied, tangy-textured wine. It tastes slightly rounded with sweetness, but comes off clean, crisp and appetizing. The two main components are Sémillon and Chardonnay, with dashes of Sauvignon Blanc and Orange Muscat.",The Whip,Fresh apple aroma lively citrus flavor make good combination lightbodied tangytextured wine It taste slightly rounded sweetness come clean crisp appetizing The two main component Sémillon Chardonnay dash Sauvignon Blanc Orange Muscat,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186]]"
Northstar,US,87,"This wine is predominantly Merlot (83%) along with Cabernet Sauvignon (9%) and Syrah (2%) all from Anna Marie Vineyard, with Cabernet Franc from Minnick Hills and Petit Verdot from StoneTree Vineyard. Pleasing aromas suggest blueberry, milk chocolate and high-toned herbs. It's elegantly styled with light blue-fruit flavors, at times seeming a bit faint.",,This wine predominantly Merlot 83 along Cabernet Sauvignon 9 Syrah 2 Anna Marie Vineyard Cabernet Franc Minnick Hills Petit Verdot StoneTree Vineyard Pleasing aroma suggest blueberry milk chocolate hightoned herb It elegantly styled light bluefruit flavor time seeming bit faint,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]","[[0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.16222142113076254]]"
Sarah's Vineyard,US,87,"This offers an intriguing mix of ripe Golden Delicious apples and a strong alkalinity characterized by crushed chalk. The palate holds tight to a lime-pith line, proving racy and lean, with just a drizzle of honey. It would be great with shellfish.",Estate,This offer intriguing mix ripe Golden Delicious apple strong alkalinity characterized crushed chalk The palate hold tight limepith line proving racy lean drizzle honey It would great shellfish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154]]"
Stickybeak,US,87,"Sanguine in cassis, cranberry and wild strawberry, this relatively inexpensive Napa Cab has an herbal edge that suggests elegance and balance. The finish is stamped in oak that lingers on the palate without overwhelming.",,Sanguine cassis cranberry wild strawberry relatively inexpensive Napa Cab herbal edge suggests elegance balance The finish stamped oak lingers palate without overwhelming,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896]]"
Patterson,US,87,The alcohol—19% as labeled—shows prominently on the aromas of this 88% Touriga Nacional and 12% Sauzao single-vineyard wine from Lonesome Springs Ranch Vineyard. Sweet chocolate and dark fruit flavors offer plenty of appeal.,Port,The alcohol—19 labeled—shows prominently aroma 88 Touriga Nacional 12 Sauzao singlevineyard wine Lonesome Springs Ranch Vineyard Sweet chocolate dark fruit flavor offer plenty appeal,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Pedroncelli,US,87,"Medium in weight, this offers a richness of plum and medium acidity surrounded by sizable tannin and oak. Cherry, dark currant and leather round out the characteristics, the wine aged in both French and American oak. The price is nice.",Three Vineyards,Medium weight offer richness plum medium acidity surrounded sizable tannin oak Cherry dark currant leather round characteristic wine aged French American oak The price nice,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.3779644730092272, 0.1889822365046136, 0.3779644730092272, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136]]"
Perazzeta,Italy,87,"This Sangiovese features aromas of blue flower, dark berry and a balsamic note. The extracted palate delivers dried black cherry, ground pepper and espresso alongside bracing tannins that leave a drying, astringent finish.",,This Sangiovese feature aroma blue flower dark berry balsamic note The extracted palate delivers dried black cherry ground pepper espresso alongside bracing tannin leave drying astringent finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Waterbrook,US,87,"Lighter in color and 100% varietal, this wine offers high-toned notes of plum, cinnamon stick and licorice. The blue and red fruit flavors are broad in feel with a light squeeze on tannins.",,Lighter color 100 varietal wine offer hightoned note plum cinnamon stick licorice The blue red fruit flavor broad feel light squeeze tannin,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924]]"
Palacio del Burgo,Spain,90,"Charred, earthy black-fruit aromas are smoky and power-packed. This feels full yet balanced, with freshness and strong tannins. Ripe berry, prune and oak-spice flavors finish with a note of vanilla and length. For a Crianza from a tough vintage, this is commendable.",Crianza,Charred earthy blackfruit aroma smoky powerpacked This feel full yet balanced freshness strong tannin Ripe berry prune oakspice flavor finish note vanilla length For Crianza tough vintage commendable,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154]]"
Passaggio,US,90,"This light-bodied wine has aromas of grapefruit and prosciutto, flavors of melon and toasted almond, making it one of the most interesting and complex versions around. Its balance is good, its texture crisp and its finish lingering.",,This lightbodied wine aroma grapefruit prosciutto flavor melon toasted almond making one interesting complex version around Its balance good texture crisp finish lingering,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174]]"
Rioja Vega,Spain,90,"Widely available Rioja Crianzas don't come much better than this. An opening of raspberry and strawberry aromas backed by direct cherry, raspberry and red-plum flavors render this all about fruit and freshness.",Crianza,Widely available Rioja Crianzas nt come much better An opening raspberry strawberry aroma backed direct cherry raspberry redplum flavor render fruit freshness,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.42640143271122083, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041]]"
Sketchbook,US,90,"This is a serious and satisfying dry wine with bold flavors, great structure and a mouth-filling texture. It is very well balanced in terms of fruit character and displays moderate tannins, good acidity and no excesses. It's easy to imagine on the table with a grilled rib eye.",,This serious satisfying dry wine bold flavor great structure mouthfilling texture It well balanced term fruit character display moderate tannin good acidity excess It easy imagine table grilled rib eye,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Adelaida Cellars,US,90,"This is a richer take on the grape, with aromas of baked cherries, pie crust, allspice, nutmeg and a touch of bacon fat. The palate is quite juicy, accessible and action-packed, with roasted pork, cherry jelly, blackberry jam, star anise and baking spice flavors deep into the finish.",Anna's Vineyard Reserve,This richer take grape aroma baked cherry pie crust allspice nutmeg touch bacon fat The palate quite juicy accessible actionpacked roasted pork cherry jelly blackberry jam star anise baking spice flavor deep finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]","[[0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.35355339059327373, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687, 0.17677669529663687]]"
CVA Canicattì,Italy,90,"Fragrant and fresh, this Grillo opens with alluring scents of acacia flower, beeswax and white stone fruit. The succulent palate offers creamy white peach, juicy nectarine, almond and mineral framed in tangy acidity. A note of chopped herb closes the lingering finish.",Aquilae Bio,Fragrant fresh Grillo open alluring scent acacia flower beeswax white stone fruit The succulent palate offer creamy white peach juicy nectarine almond mineral framed tangy acidity A note chopped herb close lingering finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.17407765595569785, 0.3481553119113957]]"
Domaine Collotte,France,90,"Full of yellow fruits, ripe apples and soft acidity, this is a rich wine with hints of spice and also attractive, perfumed acidity. It has a tangy, zesty character that is attractive and refreshing. Drink from 2017.",,Full yellow fruit ripe apple soft acidity rich wine hint spice also attractive perfumed acidity It tangy zesty character attractive refreshing Drink 2017,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","[[0.20412414523193154, 0.4082482904638631, 0.20412414523193154, 0.4082482904638631, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154]]"
Domaine Faiveley,France,90,"With some firm structure behind the red fruits, this wine will have a good future. A dry core sustained by the acidity is waiting to burst out and give a ripe, fruity while always fresh wine. Drink from 2018.",Clos du Roy Premier Cru,With firm structure behind red fruit wine good future A dry core sustained acidity waiting burst give ripe fruity always fresh wine Drink 2018,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.4364357804719848]]"
Domaine René Bouvier,France,90,"With intense acidity, this wine has both good structure and red currant and raspberry fruits. It is bright, fresh and almost crisp in character. In the background, the tannins show the dense texture of the wine. It will need to age, so don't drink before 2019.",Champ Salomon,With intense acidity wine good structure red currant raspberry fruit It bright fresh almost crisp character In background tannin show dense texture wine It need age nt drink 2019,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4]]"
Casa Dumetz,US,90,"From the vineyard once known as Alisos comes this wine, with aromas of soft clove, red cherry and a touch of sage. A strong ginger spice reigns over the palate, which is bitingly acidic, and shows dark strawberry fruit and dark thyme herbs. This wine is still quite wound up, but that acidity will prove mouthwatering for years to come.",Flower & VIne,From vineyard known Alisos come wine aroma soft clove red cherry touch sage A strong ginger spice reign palate bitingly acidic show dark strawberry fruit dark thyme herb This wine still quite wound acidity prove mouthwatering year come,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[[0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.32025630761017426, 0.32025630761017426, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.16012815380508713, 0.32025630761017426, 0.16012815380508713, 0.16012815380508713]]"
Rios de Chile,Chile,90,"Pretty on the nose, with floral notes to go with plum, cherry and minerally aromas. While this is tannic as nails, it's super tasty, with mocha, blackberry and coffee flavors. Hard residual tannins make for a rough exit, but there's enough ripe fruit to make this work. Drink through 2021.",Gran Reserva,Pretty nose floral note go plum cherry minerally aroma While tannic nail super tasty mocha blackberry coffee flavor Hard residual tannin make rough exit enough ripe fruit make work Drink 2021,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[[0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.3651483716701107, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536]]"
Robert Weil,Germany,90,"Laser-edged mineral tones cut a crystalline edge through this bristling, honey-kissed Kabinett. Equal parts sweet and tart, it packs a punch of crisp tangerine and lemon refreshment.",Kabinett,Laseredged mineral tone cut crystalline edge bristling honeykissed Kabinett Equal part sweet tart pack punch crisp tangerine lemon refreshment,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587, 0.23570226039551587]]"
Scar of the Sea,US,90,"Winemakers Mikey Giugni and Michael Brughelli are the first to admit that this is an odd style of wine, but people are digging the pét-nat style. Aromas of sour apple, grass and passion fruit arise while the palate's very tight, bubbles unleash exotic tropical fruits like green papaya and green banana.",Amuse Shandon Hills Vineyard Methode Ancestrale,Winemakers Mikey Giugni Michael Brughelli first admit odd style wine people digging pétnat style Aromas sour apple grass passion fruit arise palate tight bubble unleash exotic tropical fruit like green papaya green banana,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[[0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254]]"
Adelsheim,US,90,"Deceptively light and tight when first opened, this wine has flavors and character more in line with Gamay than most Pinots. Tart cranberry and raspberry fruit carries into a tangy finish, with citrus, mineral and herbal highlights.",,Deceptively light tight first opened wine flavor character line Gamay Pinots Tart cranberry raspberry fruit carry tangy finish citrus mineral herbal highlight,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924]]"
Boeckel,France,90,"With a little airing, this wakes up to reveal dark red cherries held in a taut and firm body that nonetheless has a generous core. There is some gentle grip and frank, firm acidity. It's a very honest wine without any baroque frills—but bags of forthright appeal.",Les Terres Rouges,With little airing wake reveal dark red cherry held taut firm body nonetheless generous core There gentle grip frank firm acidity It honest wine without baroque frills—but bag forthright appeal,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.3779644730092272, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136]]"
Fritz Müller,Germany,90,"Delightfully fun and refreshing, this perlwein, or lightly sparkling white, is Germany's answer to Italian prosecco. Made from Müller-Thurgau grapes, it's gorgeously floral, but with a chalky, earthen tang. Sprightly acidity and a fresh, green touch lends vibrance to a moderately long finish.",Perlwein Trocken,Delightfully fun refreshing perlwein lightly sparkling white Germany answer Italian prosecco Made MüllerThurgau grape gorgeously floral chalky earthen tang Sprightly acidity fresh green touch lends vibrance moderately long finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136]]"
Nicolas Potel,France,90,"This is a tight, fruity wine with high levels of acidity. That is certainly typical of the vintage and brings out very young red currant and berry fruit flavors. Even though the tannins are light, the wine is definitely one to age, so should not be drunk before 2020.",Les Teurons Premier Cru,This tight fruity wine high level acidity That certainly typical vintage brings young red currant berry fruit flavor Even though tannin light wine definitely one age drunk 2020,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4, 0.2]]"
Ousterhout,US,90,"Quince, lemon peel and honeydew make for compatible bedfellows in this no-oak white, which is light and inviting on the palate, with more underlying herbal flourishes than it first lets on. Dry and daring, it'll pair well with all manner of fresh seafood.",Redwood Ranch,Quince lemon peel honeydew make compatible bedfellow nooak white light inviting palate underlying herbal flourish first let Dry daring pair well manner fresh seafood,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041]]"
Peju,US,90,"This is a nice, full-bodied red with 3% Petit Verdot. Licorice, lavender and peppery leather gather around soft, pliable tannins and meaty blackberry fruit, finding length and breadth along the way.",,This nice fullbodied red 3 Petit Verdot Licorice lavender peppery leather gather around soft pliable tannin meaty blackberry fruit finding length breadth along way,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896]]"
Sequoia Grove,US,90,"Tonella has 16% Merlot within, from the estate vineyard around the winery. Cedar, currant and dried herb greet the nose and palate before allowing chalky, dusty tannin to season layers of chocolate and black cherry, staying structured and bright from start to finish.",Tonella Vineyard,Tonella 16 Merlot within estate vineyard around winery Cedar currant dried herb greet nose palate allowing chalky dusty tannin season layer chocolate black cherry staying structured bright start finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526, 0.19245008972987526]]"
